Stockholm	5	18.06707650020984	59.32016576938827
Trelleborg	3	13.15071670554437	55.37383965104441
Bergen	1	13.43012168749337	54.41214627084545
Col de la Pieres	0.3	11.78446246516448	46.58561061765038
Col Raiser	0.3	11.74542985747979	46.58483299279238
Brixen	1.5	11.6520221901328	46.71637365674709
Saint-Michel	0.5	-4.518270479390059	48.63308546104364
La Cumbrecita	0.3	-17.85687495461357	28.69752819831977
Ermita de la Virgen del Pino	0.2	-17.84196144833641	28.66288615894369
El Paso	0.7	-17.87952865771265	28.6514929886807
La Rosa	0.3	-17.86145813866587	28.65734344082211
Wat Phra That Doi Suthep	0.2	98.92152195941226	18.80474469154606
Newquay	0.8	-5.073636384911908	50.41219388831396
Plymouth	2	-4.143507029041765	50.37494884989551
Khao Sok	0.4	98.52489211204364	8.911792701928999
